Group,RPN,YRR,PRR,WP,RWG,Round,RNO,Rest,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE
4,-1,0,4.6,175.8,3,2,159,2,68,0,1,3,2,2,4,4,2,1,3,3,1,2,1
4,-1,0,4.6,131.6,4,2,160,2,79,1,1,1,3,2,3,3,1,5,6,8,1,2,2
4,-1,0,4.6,140.35,5,2,161,2,79,0,1,7,3,2,3,3,2,5,6,8,1,2,1
4,-1,0,4.375,148.875,6,2,162,1,61,0,1,7,2,2,2,3,2,2,2,5,1,1,1
4,-1,0,4.375,148.425,7,2,163,1,66,1,1,7,2,2,2,3,2,5,6,8,1,1,1
4,-1,0,4.375,126.1,8,2,164,1,62,1,1,2,2,2,3,1,2,1,1,3,1,1,1
4,-1,0,4.375,166.825,9,2,165,1,69,1,1,2,2,2,3,3,1,1,2,2,1,1,1
4,-1,0,4.6,148.2,10,2,166,2,64,1,1,7,2,2,2,3,2,3,1,5,1,2,1
5,1,0,4.5,78.9,1,2,167,2,39,1,1,2,3,1,6,1,2,1,1,2,1,1,1
5,1,0,4.5,65.4,2,2,168,2,29,0,1,7,2,2,6,3,2,3,1,1,1,1,1
5,1,0,4.5,62.2,3,2,169,2,25,1,1,2,1,1,2,3,2,2,1,2,1,1,1
5,1,0,4.5,73.1,4,2,170,2,34,1,1,2,2,2,4,3,3,1,1,2,1,1,1
5,1,0,4.5,102,5,2,171,2,31,0,1,2,2,4,4,3,2,1,1,1,1,1,1
5,1,0,3.2,77,6,2,172,1,42,0,8,2,2,5,9,2,1,2,2,2,1,1,1
5,1,0,3.2,90.5,7,2,173,1,31,0,1,3,2,5,6,2,2,2,1,2,1,1,1
5,1,0,3.2,101.4,8,2,174,1,46,1,1,7,3,2,3,3,1,2,1,1,1,2,1
5,1,0,3.2,91.1,9,2,175,1,42,0,1,2,3,1,3,3,3,2,1,3,1,2,2
5,1,0,3.2,64.2,10,2,176,1,32,1,1,2,2,2,6,1,3,6,6,8,1,1,1
6,1,0,4.1,87.4,1,2,177,2,61,0,1,7,2,2,8,3,2,1,1,5,1,1,1
6,1,0,4.1,79.2,2,2,178,2,34,0,1,3,2,3,5,3,2,2,2,2,1,1,1
6,1,0,4.1,38.5,3,2,179,2,33,1,1,2,2,4,8,1,2,3,1,1,1,1,1
6,1,0,4.1,85.5,4,2,180,2,34,0,1,3,1,2,7,3,3,2,1,1,1,1,1
6,1,0,4.1,63.1,5,2,181,2,36,1,6,3,3,2,7,1,3,5,6,8,1,1,1
6,1,0,3,54.9,6,2,182,1,37,0,1,3,2,4,5,3,2,1,1,4,1,1,1
6,1,0,3,66.1,8,2,183,1,41,1,1,2,1,1,6,3,2,1,2,1,1,1,1
6,1,0,3,40.7,9,2,184,1,38,1,7,2,2,4,9,3,3,1,1,2,1,1,1
6,1,0,3,29.5,10,2,185,1,30,0,1,2,2,4,8,2,4,4,1,2,1,1,2
7,-1,0,2,85.2,1,2,186,2,24,1,5,4,2,2,1,3,4,2,1,1,2,1,1
7,-1,0,2,33,2,2,187,2,23,1,5,3,1,1,5,1,4,4,1,3,1,1,1
7,-1,0,2,41,3,2,188,2,24,0,5,3,1,1,2,1,3,3,3,2,1,1,1
7,-1,0,2,41,4,2,189,2,28,0,5,7,2,2,1,3,4,4,2,4,1,1,1
7,-1,0,2,39,5,2,190,2,28,1,5,4,1,0,1,2,4,3,1,2,2,2,1
7,-1,0,3.8,69.6,6,2,191,1,26,1,5,3,1,0,3,3,4,1,2,2,1,1,1
7,-1,0,3.8,40.6,7,2,192,1,24,1,5,3,1,1,1,3,4,3,1,7,1,1,1
7,-1,0,3.8,55.8,8,2,193,1,23,1,5,2,1,1,2,2,3,4,1,4,1,1,1
7,-1,0,3.8,53.8,9,2,194,1,21,0,1,2,1,1,2,3,3,2,1,4,1,1,1
7,-1,0,3.8,44.2,10,2,195,1,24,0,8,7,1,1,1,3,3,4,5,3,1,1,1
8,-1,0,2.8,74.2,1,2,196,2,54,1,1,2,2,2,9,4,4,1,5,1,1,1,1
8,-1,0,2.8,65,2,2,197,2,43,0,1,2,2,4,5,3,1,1,2,2,1,1,1
8,-1,0,2.8,57.6,3,2,198,2,44,1,1,2,2,4,5,3,2,2,5,1,1,1,1
8,-1,0,2.8,60.3,4,2,199,2,41,0,1,2,2,5,5,3,2,2,5,6,1,1,1
8,-1,0,2.8,35.3,5,2,200,2,66,1,1,3,3,1,6,4,2,1,5,1,1,1,1
8,-1,0,3.7,96.6,6,2,201,1,42,0,1,2,2,5,6,1,2,1,3,6,1,1,1
8,-1,0,3.7,103.1,7,2,202,1,47,1,1,3,2,5,6,3,3,3,3,3,1,1,1
8,-1,0,3.7,58.4,8,2,203,1,36,0,1,7,2,4,4,3,4,1,1,3,1,1,1
8,-1,0,3.7,43.6,9,2,204,1,37,1,1,7,2,4,4,1,1,5,6,8,1,2,1
8,-1,0,3.7,80.9,10,2,205,1,37,0,1,3,2,4,9,4,2,1,5,3,1,2,1
9,1,0,3,74.625,1,2,206,1,29,1,1,3,2,2,3,3,2,1,3,1,2,1,1
9,1,0,3,80.625,2,2,207,1,28,0,1,3,2,2,3,3,1,2,5,6,1,1,1
9,1,0,3,49.875,3,2,208,1,40,0,1,7,3,1,5,3,2,4,2,3,1,1,1
9,1,0,3,52.875,4,2,209,1,53,0,7,2,3,5,3,2,2,3,2,5,1,1,1
9,1,0,3,52.875,5,2,210,1,30,1,6,3,1,1,1,3,2,3,1,1,1,1,1
9,1,0,3.375,90.375,6,2,211,2,27,0,1,4,2,2,3,1,3,4,1,2,1,1,1
9,1,0,3.375,67.5,7,2,212,2,26,1,9,2,2,2,3,3,2,1,5,2,1,2,1
9,1,0,3.375,68.25,8,2,213,2,27,1,1,7,1,1,2,1,1,1,1,1,1,1,1
9,1,0,3.375,78.375,9,2,214,2,35,1,1,7,2,2,4,2,1,2,6,8,1,1,1
9,1,0,3.375,68.25,10,2,215,2,34,0,1,2,2,2,4,2,2,6,6,8,1,1,1
10,1,0,4.2,117,1,2,216,2,25,0,5,4,2,2,2,3,4,4,2,1,1,1,1
10,1,0,4.2,84.9,2,2,217,2,,1,5,4,2,2,4,2,2,3,5,1,1,1,1
10,1,0,4.2,84.9,3,2,218,2,,0,5,3,2,2,4,1,3,2,5,1,1,1,1
10,1,0,4.2,87.9,4,2,219,2,28,0,5,3,2,3,3,3,4,3,3,1,1,1,1
10,1,0,4.2,108.2,5,2,220,2,33,1,5,4,2,3,3,3,4,3,5,2,1,1,1
10,1,0,2.3,60.8,6,2,221,1,30,1,5,4,2,2,1,3,3,2,4,2,1,1,1
10,1,0,2.3,74.2,7,2,222,1,25,1,5,3,1,1,1,3,4,4,4,2,1,1,1
10,1,0,2.3,54.7,8,2,223,1,24,1,5,3,1,1,1,3,3,1,1,3,1,1,2
10,1,0,2.3,72.2,9,2,224,1,24,0,5,3,1,1,1,3,4,1,1,3,1,1,1
10,1,0,2.3,93.7,10,2,225,1,,1,5,3,1,1,2,4,4,3,3,4,1,2,1
11,-1,0,3.2,96.7,1,2,226,2,29,1,1,3,2,5,3,3,2,5,6,8,1,1,1
11,-1,0,3.2,97.3,2,2,227,2,26,0,1,7,2,5,3,3,2,3,1,2,1,1,1
11,-1,0,3.2,97.3,3,2,228,2,25,0,1,7,2,5,3,3,3,1,2,2,1,2,2
11,-1,0,3.2,97.3,4,2,229,2,28,1,1,2,2,5,3,4,3,2,1,1,1,1,1
11,-1,0,3.2,95,5,2,230,2,37,1,1,4,2,5,6,2,3,2,1,2,1,1,1
11,-1,0,3.5,90.3,6,2,231,1,36,0,1,7,2,5,5,3,3,3,2,1,1,1,1
11,-1,0,3.5,77.2,7,2,232,1,42,1,1,7,2,7,4,1,2,6,6,8,1,2,1
11,-1,0,3.5,87.4,8,2,233,1,35,0,1,2,2,7,4,3,2,1,2,4,2,1,1
11,-1,0,3.5,87.4,9,2,234,1,42,1,1,3,2,6,6,1,4,1,1,7,1,2,1
11,-1,0,3.5,94.4,10,2,235,1,39,0,1,7,2,6,6,4,3,2,5,3,1,2,2
0,0,0,0,0,1,2,236,2,44,0,1,7,1,3,2,3,4,3,1,1,1,1,1
0,0,0,0,0,2,2,237,2,39,1,1,2,3,3,4,3,4,4,1,1,1,1,1
0,0,0,0,0,4,2,238,2,44,0,1,7,2,5,3,5,2,2,1,2,1,1,1
0,0,0,0,0,5,2,239,2,42,0,1,7,2,4,4,1,3,2,1,1,1,2,1
0,0,0,0,0,6,2,240,2,20,0,9,7,1,4,1,1,3,2,1,2,1,1,1
0,0,0,0,0,8,2,241,2,27,0,1,5,2,2,4,2,3,1,1,6,1,1,1
0,0,0,0,0,9,2,242,2,29,0,5,3,2,2,1,3,4,1,1,1,2,1,1
0,0,0,0,0,10,2,243,2,22,0,1,2,2,2,2,3,4,1,1,4,1,1,1
0,0,0,0,0,11,2,244,2,23,1,1,2,2,2,2,3,4,6,6,8,1,1,1
0,0,0,0,0,12,2,245,1,33,0,1,2,2,4,4,3,3,1,1,1,1,1,1
0,0,0,0,0,13,2,246,1,53,0,1,6,2,3,2,5,2,2,3,4,2,2,2
0,0,0,0,0,14,2,247,1,22,0,1,2,1,1,1,3,3,1,1,7,1,1,1
0,0,0,0,0,15,2,248,1,34,1,1,7,2,4,4,3,3,4,2,2,1,1,1
0,0,0,0,0,16,2,249,1,21,0,6,2,1,2,2,2,2,1,1,1,1,1,1
0,0,0,0,0,17,2,250,1,30,1,1,2,2,4,8,1,3,3,2,2,1,1,1
0,0,0,0,0,18,2,251,1,47,0,1,2,2,5,4,3,1,1,3,3,1,1,1
0,0,0,0,0,19,2,252,1,27,0,1,2,1,2,3,2,3,2,1,2,1,1,1
0,0,0,0,0,20,2,253,1,29,0,1,2,2,4,3,3,3,1,2,2,1,1,1
0,0,0,0,0,23,2,254,1,30,1,8,2,1,2,4,2,3,1,2,4,1,1,1
0,0,0,0,0,24,2,255,1,23,1,1,1,1,0,3,3,2,2,1,1,1,1,2
0,0,0,0,0,25,2,256,1,49,1,1,7,2,5,5,3,2,2,3,1,1,1,1
0,0,0,0,0,26,2,257,1,41,0,1,2,2,5,4,1,4,1,5,3,1,1,2
0,0,0,0,0,27,2,258,1,27,0,1,2,1,2,2,2,4,1,1,1,1,1,1
0,0,0,0,0,29,2,259,2,40,0,5,6,2,3,2,4,4,2,4,6,1,1,1
0,0,0,0,0,31,2,260,2,49,0,1,7,2,6,7,4,4,4,1,7,1,1,1
0,0,0,0,0,32,2,261,2,34,0,5,3,2,3,4,3,4,2,3,2,1,1,1
0,0,0,0,0,33,2,262,2,40,1,5,3,2,3,3,2,4,2,4,2,1,1,1
0,0,0,0,0,34,2,263,2,30,1,9,3,1,1,3,3,3,2,1,2,1,1,1
0,0,0,0,0,35,2,264,2,26,1,9,3,1,1,3,3,4,2,1,1,1,2,1
0,0,0,0,0,36,2,265,2,54,0,1,1,2,2,9,1,1,1,5,4,1,1,1
0,0,0,0,0,37,2,266,2,35,0,1,4,1,5,3,2,2,2,4,2,1,1,1
0,0,0,0,0,38,2,267,1,24,1,9,3,1,1,2,3,4,3,1,2,1,1,1
0,0,0,0,0,39,2,268,1,43,0,1,7,2,5,3,3,1,1,2,1,1,1,1
0,0,0,0,0,40,2,269,1,45,1,1,7,2,5,3,3,1,1,5,1,2,2,2
0,0,0,0,0,41,2,270,1,67,1,1,7,3,1,2,3,3,6,6,8,1,1,1
