Group,RPN,YRR,PRR,WP,RWG,Round,RNO,Rest,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE
6,1,4.4,0,0,10,1,49,2,30,0,1,2,2,4,8,2,4,4,1,2,1,1,2
7,-1,1.2,0,0,1,1,50,1,24,1,5,4,2,2,1,3,4,2,1,1,2,1,1
7,-1,1.2,0,0,2,1,51,1,23,1,5,3,1,1,5,1,4,4,1,3,1,1,1
7,-1,1.2,0,0,3,1,52,1,24,0,5,3,1,1,2,1,3,3,3,2,1,1,1
7,-1,1.2,0,0,4,1,53,1,28,0,5,7,2,2,1,3,4,4,2,4,1,1,1
7,-1,1.2,0,0,5,1,54,1,28,1,5,4,1,0,1,2,4,3,1,2,2,2,1
7,-1,2.4,0,0,6,1,55,2,26,1,5,3,1,0,3,3,4,1,2,2,1,1,1
7,-1,2.4,0,0,7,1,56,2,24,1,5,3,1,1,1,3,4,3,1,7,1,1,1
7,-1,2.4,0,0,8,1,57,2,23,1,5,2,1,1,2,2,3,4,1,4,1,1,1
7,-1,2.4,0,0,9,1,58,2,21,0,1,2,1,1,2,3,3,2,1,4,1,1,1
7,-1,2.4,0,0,10,1,59,2,24,0,8,7,1,1,1,3,3,4,5,3,1,1,1
8,-1,1.2,0,0,1,1,60,1,54,1,1,2,2,2,9,4,4,1,5,1,1,1,1
8,-1,1.2,0,0,2,1,61,1,43,0,1,2,2,4,5,3,1,1,2,2,1,1,1
8,-1,1.2,0,0,3,1,62,1,44,1,1,2,2,4,5,3,2,2,5,1,1,1,1
8,-1,1.2,0,0,4,1,63,1,41,0,1,2,2,5,5,3,2,2,5,6,1,1,1
8,-1,1.2,0,0,5,1,64,1,66,1,1,3,3,1,6,4,2,1,5,1,1,1,1
8,-1,2.2,0,0,6,1,65,2,42,0,1,2,2,5,6,1,2,1,3,6,1,1,1
8,-1,2.2,0,0,7,1,66,2,47,1,1,3,2,5,6,3,3,3,3,3,1,1,1
8,-1,2.2,0,0,8,1,67,2,36,0,1,7,2,4,4,3,4,1,1,3,1,1,1
8,-1,2.2,0,0,9,1,68,2,37,1,1,7,2,4,4,1,1,5,6,8,1,2,1
8,-1,2.2,0,0,10,1,69,2,37,0,1,3,2,4,9,4,2,1,5,3,1,2,1
9,1,3.4,0,0,1,1,70,2,29,1,1,3,2,2,3,3,2,1,3,1,2,1,1
9,1,3.4,0,0,2,1,71,2,28,0,1,3,2,2,3,3,1,2,5,6,1,1,1
9,1,3.4,0,0,3,1,72,2,40,0,1,7,3,1,5,3,2,4,2,3,1,1,1
9,1,3.4,0,0,4,1,73,2,53,0,7,2,3,5,3,2,2,3,2,5,1,1,1
9,1,3.4,0,0,5,1,74,2,30,1,6,3,1,1,1,3,2,3,1,1,1,1,1
9,1,4.4,0,0,6,1,75,1,27,0,1,4,2,2,3,1,3,4,1,2,1,1,1
9,1,4.4,0,0,7,1,76,1,26,1,9,2,2,2,3,3,2,1,5,2,1,2,1
9,1,4.4,0,0,8,1,77,1,27,1,1,7,1,1,2,1,1,1,1,1,1,1,1
9,1,4.4,0,0,9,1,78,1,35,1,1,7,2,2,4,2,1,2,6,8,1,1,1
9,1,4.4,0,0,10,1,79,1,34,0,1,2,2,2,4,2,2,6,6,8,1,1,1
10,1,4.2,0,0,1,1,80,1,25,0,5,4,2,2,2,3,4,4,2,1,1,1,1
10,1,4.2,0,0,2,1,81,1,,1,5,4,2,2,4,2,2,3,5,1,1,1,1
10,1,4.2,0,0,3,1,82,1,,0,5,3,2,2,4,1,3,2,5,1,1,1,1
10,1,4.2,0,0,9,1,83,1,28,0,5,3,2,3,3,3,4,3,3,1,1,1,1
10,1,4.2,0,0,4,1,84,1,33,1,5,4,2,3,3,3,4,3,5,2,1,1,1
10,1,3.4,0,0,5,1,85,2,30,1,5,4,2,2,1,3,3,2,4,2,1,1,1
10,1,3.4,0,0,6,1,86,2,25,1,5,3,1,1,1,3,4,4,4,2,1,1,1
10,1,3.4,0,0,7,1,87,2,24,1,5,3,1,1,1,3,3,1,1,3,1,1,2
10,1,3.4,0,0,8,1,88,2,24,0,5,3,1,1,1,3,4,1,1,3,1,1,1
10,1,3.4,0,0,10,1,89,2,,1,5,3,1,1,2,4,4,3,3,4,1,2,1
11,-1,1.4,0,0,1,1,90,1,29,1,1,3,2,5,3,3,2,5,6,8,1,1,1
11,-1,1.4,0,0,2,1,91,1,26,0,1,7,2,5,3,3,2,3,1,2,1,1,1
11,-1,1.4,0,0,3,1,92,1,25,0,1,7,2,5,3,3,3,1,2,2,1,2,2
11,-1,1.4,0,0,4,1,93,1,28,1,1,2,2,5,3,4,3,2,1,1,1,1,1
11,-1,1.4,0,0,5,1,94,1,37,1,1,4,2,5,6,2,3,2,1,2,1,1,1
11,-1,2.4,0,0,6,1,95,2,36,0,1,7,2,5,5,3,3,3,2,1,1,1,1
11,-1,2.4,0,0,7,1,96,2,42,1,1,7,2,7,4,1,2,6,6,8,1,2,1
11,-1,2.4,0,0,8,1,97,2,35,0,1,2,2,7,4,3,2,1,2,4,2,1,1
11,-1,2.4,0,0,9,1,98,2,42,1,1,3,2,6,6,1,4,1,1,7,1,2,1
11,-1,2.4,0,0,10,1,99,2,39,0,1,7,2,6,6,4,3,2,5,3,1,2,2
0,0,0,0,0,1,1,100,1,44,0,1,7,1,3,2,3,4,3,1,1,1,1,1
0,0,0,0,0,2,1,101,1,39,1,1,2,3,3,4,3,4,4,1,1,1,1,1
0,0,0,0,0,4,1,102,1,44,0,1,7,2,5,3,5,2,2,1,2,1,1,1
0,0,0,0,0,5,1,103,1,42,0,1,7,2,4,4,1,3,2,1,1,1,2,1
0,0,0,0,0,6,1,104,1,20,0,9,7,1,4,1,1,3,2,1,2,1,1,1
0,0,0,0,0,8,1,105,1,27,0,1,5,2,2,4,2,3,1,1,6,1,1,1
0,0,0,0,0,9,1,106,1,29,0,5,3,2,2,1,3,4,1,1,1,2,1,1
0,0,0,0,0,10,1,107,1,22,0,1,2,2,2,2,3,4,1,1,4,1,1,1
0,0,0,0,0,11,1,108,1,23,1,1,2,2,2,2,3,4,6,6,8,1,1,1
0,0,0,0,0,12,1,109,2,33,0,1,2,2,4,4,3,3,1,1,1,1,1,1
0,0,0,0,0,13,1,110,2,53,0,1,6,2,3,2,5,2,2,3,4,2,2,2
0,0,0,0,0,14,1,111,2,22,0,1,2,1,1,1,3,3,1,1,7,1,1,1
0,0,0,0,0,15,1,112,2,34,1,1,7,2,4,4,3,3,4,2,2,1,1,1
0,0,0,0,0,16,1,113,2,21,0,6,2,1,2,2,2,2,1,1,1,1,1,1
0,0,0,0,0,17,1,114,2,30,1,1,2,2,4,8,1,3,3,2,2,1,1,1
0,0,0,0,0,18,1,115,2,47,0,1,2,2,5,4,3,1,1,3,3,1,1,1
0,0,0,0,0,19,1,116,2,27,0,1,2,1,2,3,2,3,2,1,2,1,1,1
0,0,0,0,0,20,1,117,2,29,0,1,2,2,4,3,3,3,1,2,2,1,1,1
0,0,0,0,0,23,1,118,2,30,1,8,2,1,2,4,2,3,1,2,4,1,1,1
0,0,0,0,0,24,1,119,2,23,1,1,1,1,0,3,3,2,2,1,1,1,1,2
0,0,0,0,0,25,1,120,2,49,1,1,7,2,5,5,3,2,2,3,1,1,1,1
0,0,0,0,0,26,1,121,2,41,0,1,2,2,5,4,1,4,1,5,3,1,1,2
0,0,0,0,0,27,1,122,2,27,0,1,2,1,2,2,2,4,1,1,1,1,1,1
0,0,0,0,0,29,1,123,1,40,0,5,6,2,3,2,4,4,2,4,6,1,1,1
0,0,0,0,0,31,1,124,1,49,0,1,7,2,6,7,4,4,4,1,7,1,1,1
0,0,0,0,0,32,1,125,1,34,0,5,3,2,3,4,3,4,2,3,2,1,1,1
0,0,0,0,0,33,1,126,1,40,1,5,3,2,3,3,2,4,2,4,2,1,1,1
0,0,0,0,0,34,1,127,1,30,1,9,3,1,1,3,3,3,2,1,2,1,1,1
0,0,0,0,0,35,1,128,1,26,1,9,3,1,1,3,3,4,2,1,1,1,2,1
0,0,0,0,0,36,1,129,1,54,0,1,1,2,2,9,1,1,1,5,4,1,1,1
0,0,0,0,0,37,1,130,1,35,0,1,4,1,5,3,2,2,2,4,2,1,1,1
0,0,0,0,0,38,1,131,2,24,1,9,3,1,1,2,3,4,3,1,2,1,1,1
0,0,0,0,0,39,1,132,2,43,0,1,7,2,5,3,3,1,1,2,1,1,1,1
0,0,0,0,0,40,1,133,2,45,1,1,7,2,5,3,3,1,1,5,1,2,2,2
0,0,0,0,0,41,1,134,2,67,1,1,7,3,1,2,3,3,6,6,8,1,1,1
