Group,RPN,YRR,YRRS,PRR,NEWYRR,NEWPRR,WP,WPN,RWG,Round,RNO,Rest,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE
6,1,4.4,4.4,0,1.4,0,0,1.546120244,6,1,46,2,37,0,1,3,2,4,5,3,2,1,1,4,1,1,1
6,1,4.4,4.4,0,1.4,0,0,1.616930514,8,1,47,2,41,1,1,2,1,1,6,3,2,1,2,1,1,1,1
6,1,4.4,4.4,0,1.4,0,0,1.867524313,9,1,48,2,38,1,7,2,2,4,9,3,3,1,1,2,1,1,1
6,1,4.4,4.4,0,1.4,0,0,1.944543651,10,1,49,2,30,0,1,2,2,4,8,2,4,4,1,2,1,1,2
7,-1,1.2,-1.2,0,-1.8,0,0,-0.453557366,1,1,50,1,24,1,5,4,2,2,1,3,4,2,1,1,2,1,1
7,-1,1.2,-1.2,0,-1.8,0,0,-0.612372436,2,1,51,1,23,1,5,3,1,1,5,1,4,4,1,3,1,1,1
7,-1,1.2,-1.2,0,-1.8,0,0,-1.106797181,3,1,52,1,24,0,5,3,1,1,2,1,3,3,3,2,1,1,1
7,-1,1.2,-1.2,0,-1.8,0,0,-1.010362971,4,1,53,1,28,0,5,7,2,2,1,3,4,4,2,4,1,1,1
7,-1,1.2,-1.2,0,-1.8,0,0,-1.014185106,5,1,54,1,28,1,5,4,1,0,1,2,4,3,1,2,2,2,1
7,-1,2.4,-2.4,0,-0.6,0,0,-0.29104275,6,1,55,2,26,1,5,3,1,0,3,3,4,1,2,2,1,1,1
7,-1,2.4,-2.4,0,-0.6,0,0,-0.247487373,7,1,56,2,24,1,5,3,1,1,1,3,4,3,1,7,1,1,1
7,-1,2.4,-2.4,0,-0.6,0,0,0.240535118,8,1,57,2,23,1,5,2,1,1,2,2,3,4,1,4,1,1,1
7,-1,2.4,-2.4,0,-0.6,0,0,0.392078425,9,1,58,2,21,0,1,2,1,1,2,3,3,2,1,4,1,1,1
7,-1,2.4,-2.4,0,-0.6,0,0,0.388908731,10,1,59,2,24,0,8,7,1,1,1,3,3,4,5,3,1,1,1
8,-1,1.2,-1.2,0,-1.8,0,0,0.994396063,1,1,60,1,54,1,1,2,2,2,9,4,4,1,5,1,1,1,1
8,-1,1.2,-1.2,0,-1.8,0,0,0.645497225,2,1,61,1,43,0,1,2,2,4,5,3,1,1,2,2,1,1,1
8,-1,1.2,-1.2,0,-1.8,0,0,0.519615243,3,1,62,1,44,1,1,2,2,4,5,3,2,2,5,1,1,1,1
8,-1,1.2,-1.2,0,-1.8,0,0,0.928884323,4,1,63,1,41,0,1,2,2,5,5,3,2,2,5,6,1,1,1
8,-1,1.2,-1.2,0,-1.8,0,0,0.557831937,5,1,64,1,66,1,1,3,3,1,6,4,2,1,5,1,1,1,1
8,-1,2.2,-2.2,0,-0.8,0,0,0.635085296,6,1,65,2,42,0,1,2,2,5,6,1,2,1,3,6,1,1,1
8,-1,2.2,-2.2,0,-0.8,0,0,0.64813836,7,1,66,2,47,1,1,3,2,5,6,3,3,3,3,3,1,1,1
8,-1,2.2,-2.2,0,-0.8,0,0,1.057142858,8,1,67,2,36,0,1,7,2,4,4,3,4,1,1,3,1,1,1
8,-1,2.2,-2.2,0,-0.8,0,0,0.800757218,9,1,68,2,37,1,1,7,2,4,4,1,1,5,6,8,1,2,1
8,-1,2.2,-2.2,0,-0.8,0,0,0.30568684,10,1,69,2,37,0,1,3,2,4,9,4,2,1,5,3,1,2,1
9,1,3.4,3.4,0,0.4,0,0,0.641028243,1,1,70,2,29,1,1,3,2,2,3,3,2,1,3,1,2,1,1
9,1,3.4,3.4,0,0.4,0,0,0.610116913,2,1,71,2,28,0,1,3,2,2,3,3,1,2,5,6,1,1,1
9,1,3.4,3.4,0,0.4,0,0,0.270632938,3,1,72,2,40,0,1,7,3,1,5,3,2,4,2,3,1,1,1
9,1,3.4,3.4,0,0.4,0,0,0.248349818,4,1,73,2,53,0,7,2,3,5,3,2,2,3,2,5,1,1,1
9,1,3.4,3.4,0,0.4,0,0,0.262552515,5,1,74,2,30,1,6,3,1,1,1,3,2,3,1,1,1,1,1
9,1,4.4,4.4,0,1.4,0,0,0.61343466,6,1,75,1,27,0,1,4,2,2,3,1,3,4,1,2,1,1,1
9,1,4.4,4.4,0,1.4,0,0,0.596039561,7,1,76,1,26,1,9,2,2,2,3,3,2,1,5,2,1,2,1
9,1,4.4,4.4,0,1.4,0,0,0.67219362,8,1,77,1,27,1,1,7,1,1,2,1,1,1,1,1,1,1,1
9,1,4.4,4.4,0,1.4,0,0,0.695569525,9,1,78,1,35,1,1,7,2,2,4,2,1,2,6,8,1,1,1
