WOR,OWU,PFOR,RPTF,CPR,NC,TASTES,FQS,HCS,AMBS,SERVICES,PRICES
1,4,1980,1,1,1,5,5,4,4,3,4
1,4,224,1,1,1,5,5,3,4,3,3
1,40,560,2,1,2,5,5,2,3,4,4
2,40,12,1,1,2,4,4,2,4,5,5
1,12,956,1,1,1,5,3,3,3,2,4
1,60,2046,1,2,1,5,5,5,5,5,5
2,30,1264,1,1,2,3,3,2,3,4,3
1,8,814,1,1,2,5,5,4,4,4,3
1,12,164,1,1,1,3,4,3,3,4,4
1,12,1188,1,1,2,4,5,3,3,4,4
2,12,1716,1,1,1,5,5,3,3,4,2
1,128,2044,1,1,1,5,5,4,4,4,3
1,76,672,1,1,1,5,5,5,4,4,4
2,4,764,1,1,1,5,5,3,5,5,3
1,104,568,1,1,1,5,5,3,5,5,5
2,128,24,2,2,2,5,5,1,1,3,3
2,128,8,1,1,1,4,5,4,4,4,4
2,128,1156,1,1,1,4,5,3,2,4,3
1,36,1524,1,1,1,5,5,4,5,5,4
