Group,RPN,YRR,PRR,WP,RWG,Round,RNO,Rest,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE,WOR,OWU,PFOR,RPTF,CPR,NC,TASTES,FQS,HCS,AMBS,SERVICES,PRICES,LOCS,EOF,EOW,AVGSPEND,ALCN,FAVCUS,Restau,DistanceG,DistanceHM,Overall,FoodQual,Taste,Service,Location,Price,Ambiance,Variety,Healthy,Recfrd,Tip,Revisit
4,-1,2.4,0,0,6,1,26,2,61,2,1,7,2,2,2,3,2,2,2,5,1,1,1,1,4,956,1,1,1,5,5,4,5,5,5,3,3,1,2,2,1,2,4,4,4,5,5,4,4,4,3,5,3,5,2,5
4,-1,2.4,0,0,7,1,27,2,66,1,1,7,2,2,2,3,2,5,6,8,1,1,1,1,128,112,1,1,2,4,4,3,4,4,4,3,3,2,2,3,1,2,4,4,4,5,4,5,4,4,3,5,3,5,2,5
4,-1,2.4,0,0,8,1,28,2,62,1,1,2,2,2,3,1,2,1,1,3,1,1,1,2,18,252,1,1,1,4,4,3,4,4,4,3,3,2,3,2,1,2,3,3,3,4,4,4,4,4,4,4,3,5,3,5
4,-1,2.4,0,0,9,1,29,2,69,1,1,2,2,2,3,3,1,1,2,2,1,1,1,2,128,1788,1,1,2,5,5,2,4,5,4,4,2,1,3,2,1,2,4,4,3,4,4,5,4,4,4,4,2,5,2,4
4,-1,1.2,0,0,10,1,30,1,64,1,1,7,2,2,2,3,2,3,1,5,1,2,1,2,32,1092,1,1,2,5,5,1,4,5,3,3,3,1,2,2,1,1,4,5,3,4,4,5,2,3,3,4,3,5,3,5
5,1,4.4,0,0,1,1,31,1,39,1,1,2,3,1,6,1,2,1,1,2,1,1,1,1,46,148,1,1,1,5,5,5,4,4,2,2,2,1,3,2,1,1,1,2,3,3,4,4,4,5,3,3,3,4,3,3
5,1,4.4,0,0,2,1,32,1,29,2,1,7,2,2,6,3,2,3,1,1,1,1,1,1,44,1568,1,1,1,5,5,4,4,5,3,3,2,2,3,3,4,1,1,2,5,3,4,4,4,4,4,3,2,3,3,3
5,1,4.4,0,0,3,1,33,1,25,1,1,2,1,1,2,3,2,2,1,2,1,1,1,2,32,1552,1,1,1,5,4,4,2,4,3,3,4,1,2,2,4,1,1,3,2,3,3,2,3,3,3,4,3,2,3,3
5,1,4.4,0,0,4,1,34,1,34,1,1,2,2,2,4,3,3,1,1,2,1,1,1,1,28,1212,1,1,1,5,4,4,4,5,4,3,4,2,1,1,4,1,2,4,3,5,5,4,2,4,3,4,2,4,3,4
5,1,4.4,0,0,5,1,35,1,31,2,1,2,2,4,4,3,2,1,1,1,1,1,1,1,128,44,1,1,1,5,5,5,4,3,4,4,3,2,2,2,4,1,2,1,5,2,3,3,4,2,4,3,2,1,3,1
5,1,4.2,0,0,6,1,36,2,42,2,8,2,2,5,9,2,1,2,2,2,1,1,1,2,58,1268,1,1,2,5,5,4,4,4,3,3,2,2,2,3,2,2,5,5,5,4,4,3,2,3,3,5,3,4,3,3
